name_info,name,info,time,address
Acropolis_of_Athens_Athens_Greece,아크로폴리스,"아크로폴리스는 그리스 아테네의 바위지대에 있는 성채이며, 건축학적, 역사적으로 매우 중요한 고대 건축물들의 유적지가 있으며, 이 중에 파르테논 신전이 가장 유명하다. 아크로폴리스라는 단어는 그리스어 단어 ἄκρον 과 πόλις 에서 온 것이다.","목요일 오전 8:00~오후 8:00
금요일 오전 8:00~오후 8:00
토요일 오전 8:00~오후 8:00
일요일 오전 8:00~오후 8:00
월요일 오전 8:00~오후 8:00
화요일 오전 8:00~오후 8:00
수요일 오전 8:00~오후 8:00",Athens 105 58 그리스
Arc_de_Triomphe_Paris_France,에투알 개선문,"에투알 개선문은 프랑스 파리 샹젤리제 거리의 서쪽 끝, 샤를 드골 광장 한복판에 위치한 거대한 개선문이다. 개선문의 위치는 총 3개의 아롱디스망에 걸쳐있는데, 남서쪽으로 16구, 북쪽으로 17구, 동쪽으로 8구가 자리하고 있다.","목요일 오전 10:00~오후 10:15
금요일 오전 10:00~오후 10:15
토요일 오전 10:00~오후 10:15
일요일 오전 10:00~오후 10:15
월요일 오전 10:00~오후 10:15
화요일 오전 10:00~오후 10:15
수요일 오전 10:00~오후 10:15","Pl. Charles de Gaulle, 75008 Paris, 프랑스"
Big_Ben_London_England,빅 벤 (Big Ben),"빅 벤은 영국 런던의 웨스트민스터 궁전 북쪽 흔히 종뿐만 아니라 시계탑 자체도 빅 벤이라고 부른다. 시계탑의 4면에는 세계에서 가장 큰 자명종 시계가 달려 있고, 시계 자체도 독립 세워진 것들 가운데 세 번째로 높은 것이다.",정보가 없습니다,"영국 SW1A 0AA London, 런던"
BlueMosque_Istanbul_Turkey,술탄 아흐메트 모스크 (Sultanahmet Camii),"술탄 아흐메트 모스크는 튀르키예의 이스탄불에 있는 대표적인 모스크로, 세계문화유산인 이스탄불 역사지구의 유서깊은 건축물 가운데 하나이다. 술탄 아흐메드 사원이라고도 한다.",정보가 없습니다,"Binbirdirek, At Meydanı Cd No:10, 34122 Fatih/İstanbul, 튀르키예"
Brandenburg_Gate_Berlin_Germany,브란덴부르크 문 (Brandenburg Gate),브란덴부르크 문은 18세기에 베를린에 지어진 초기 고전주의 양식 개선문이다.,정보가 없습니다,"Pariser Platz, 10117 Berlin, 독일"
Casa_Mila_Barcelona_Spain,카사 밀라 (La Pedrera-Casa Milà),"카사밀라는 익히 라 페드레라로도 불리고 있으며, 안토니오 가우디의 작품으로 바르셀로나 중심가인 파세오 데 그라시아 거리에 위치해 있다. 1906년 설계를 시작해 1912년에 완공된 고급 연립주택이다. 1984년 유네스코 세계 문화 유산으로 지정되었다.","목요일 오전 9:00~오후 11:00
금요일 오전 9:00~오후 11:00
토요일 오전 9:00~오후 11:00
일요일 오전 9:00~오후 11:00
월요일 오전 9:00~오후 11:00
화요일 오전 9:00~오후 11:00
수요일 오전 9:00~오후 11:00","Pg. de Gràcia, 92, 08008 Barcelona, 스페인"
Christ_the_Redeemer_Rio de Janeiro_Brazil,그리스도 구속자 (Christ the Redeemer),"구세주 그리스도상은 브라질의 리우데자네이루에 있는 예수 그리스도의 조각상이다. 프랑스의 조각가 폴 란도스키와 브라질의 기술자 에이토르 실바 다 코스타가 설계를 담당하였며, 1922년과 1931년 사이에 건축되었다. 양팔 사이의 길이는 28m이며, 높이는 30m이다.","목요일 오전 8:00~오후 7:00
금요일 오전 8:00~오후 7:00
토요일 오전 8:00~오후 7:00
일요일 오전 8:00~오후 7:00
월요일 오전 8:00~오후 7:00
화요일 오전 8:00~오후 7:00
수요일 오전 8:00~오후 7:00","Parque Nacional da Tijuca - Alto da Boa Vista, Rio de Janeiro - RJ, 브라질"
CN_Tower_Toronto_Canada,CN 타워 (CN Tower),CN 타워 혹은 투르 CN은 1976년에 캐나다 토론토에 세워진 높이 553.33m의 탑이다.,"목요일 오전 9:00~오후 10:00
금요일 오전 9:00~오후 10:00
토요일 오전 9:00~오후 10:00
일요일 오전 9:00~오후 10:00
월요일 오전 9:00~오후 10:00
화요일 오전 9:00~오후 10:00
수요일 오전 9:00~오후 10:00","290 Bremner Blvd, Toronto, ON M5V 3L9 캐나다"
Colosseum_Rome_Italy,콜로세움 (Colosseum),"콜로세움은 고대 로마 시대의 건축물 가운데 하나로 로마 제국 시대에 만들어진 원형 경기장이다. 석회암, 응회암, 콘크리트 등으로 지어져 있고, 5만 명 이상의 관중을 수용할 수 있었다. 로마의 중심지에 위치하여 있고, 현재는 로마를 대표하는 유명한 관광지로 탈바꿈하였다.","목요일 오전 9:00~오후 7:15
금요일 오전 9:00~오후 7:15
토요일 오전 9:00~오후 7:15
일요일 오전 9:00~오후 7:15
월요일 오전 9:00~오후 7:15
화요일 오전 9:00~오후 7:15
수요일 오전 9:00~오후 7:15","Piazza del Colosseo, 1, 00184 Roma RM, 이탈리아"
Deoksugung_Palacio_Seoul_Korea,덕수궁,"덕수궁은 서울 중구 정동에 있는 조선과 대한제국의 궁궐이다. 대한민국의 사적으로 지정되어 있다. 본래 이름은 경운궁으로, 아관파천 이후 환궁하여 법궁으로 사용되다가 순종 즉위 후 궁의 이름을 현재의 덕수궁으로 변경하였다.","목요일 오전 9:00~오후 9:00
금요일 오전 9:00~오후 9:00
토요일 오전 9:00~오후 9:00
일요일 오전 9:00~오후 9:00
월요일 휴무일
화요일 오전 9:00~오후 9:00
수요일 오전 9:00~오후 9:00",서울특별시 중구 세종대로 99
